59	Utils Equals MDT hour DateUtils Utils DST hours buggy truncate lang DAY result oct switching	Equals Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	Number Exception String StringIndexOutOfBoundsException String Bounds Exception Format createNumber create Number Utils NumberUtils Number Utils Bounds passed indicators NumberFormatException Number Format Exception	Number Format Exception Bounds e E String Utils create	NumberUtils createNumber StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale Week week FastDateFormat Fast Format format set Simple Fast println year SimpleDateFormat Simple Format Days	Week Days Day Bug Format set Instance Time minimal	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction test MIN Reduced Integer method Common Equals code getReducedFraction Reduced Fraction getNumerator Numerator getDenominator Denominator Style greatest	Reduced Common Fraction test border Equals Style Divisor greatest Reduce Test Numerator Denominator Factory	org apache commons lang math Fraction reduce Integer MIN
664	Number code Dec Digit String hasExp Exp hasDecPoint Dec Point java isNumber Number Utils Exp chars change Point	Number Dec Digit Utils Point Exp	NumberUtils isNumber String String Number Utils Number
677	Time Local Utils Calendar isSameLocalTime Local Time method HOUR DateUtils Utils Millis Instance cal set	Time Local Instance Utils Millis set	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java Format SimpleDateFormat Simple Format year Fast bug number Simple FastDateFormat Fast Format behavior format YYY	Format Fast Simple	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Format NumberFormatException Number Format Exception Utils Integer createNumber create Number upper Exception hex decode handles NumberUtils Number Utils work handle	Number Format Exception Utils create	NumberUtils handle upper hex Number Utils
747	Number Integer create hex numbers createLong create Utils createNumber create Number Hex handle decode check NumberUtils Number Utils	create Number Utils Integer	NumberUtils handle Hex numbers Number Utils
788	Loader Object Stream Serialization Exception Utils ClassNotFoundException Exception noformat ObjectInputStream Object Input Stream clone SerializationUtils Serialization Utils Type primitiveType primitive Type bug	Loader Object Stream User Utils current prim Classes Thread Equals Type	SerializationUtils ClassNotFoundException cloning primitive classes Serialization Utils Exception
805	String code Bounds array start gap Utils Random pass Array ends size lang chars	String Bounds Random Utils Array Exception	RandomStringUtils random count universe random java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Argument Utils String lang Illegal source IllegalArgumentException Illegal Argument Exception start problem confusing IAE RandomUtils Random Utils identify	Argument Random Utils String Illegal Exception	RandomStringUtils confusing IAE start Random String Utils
822	Number Big BigDecimal Big Decimal behaviour createNumber create Number Format create work Decimal Java invocations Utils Exception leading	Number Big Format create Decimal Exception Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Format FastDateParser Fast Parser Fast dates space Parser FDP white Javadoc parse parsed SDP Simple	Format Fast Parser Simple	FastDateParser handle white space properly Fast Parser
832	format parse quotes Format Simple Fast unterminated FastDateParser Fast Parser SimpleDateFormat Simple Format Parser handle	Format Fast Parser Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	String CharSequence Sequence Map Sequence work code Code CharBuffer Buffer Escape Html translate quote Utils	Map Escape String Html Code Translator Lookup escape hash lookup Hash Utils Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Sequence
